Order ID,Order Date,Region,Category,Sub-Category,Quantity,Discount,Sales,Profit
ORD-0000001,2021-01-01,South,Office Supplies,Art,3,0.15,92.68,18.53
ORD-0000002,2021-01-01,Central,Furniture,Chairs,1,0.3,283.91,18.25
ORD-0000003,2021-01-01,East,Office Supplies,Paper,6,0.0,176.95,11.31
ORD-0000004,2021-01-01,Central,Furniture,Bookcases,2,0.1,574.72,113.27
ORD-0000005,2021-01-01,West,Furniture,Tables,4,0.3,1194.8,85.32
ORD-0000006,2021-01-01,West,Furniture,Furnishings,2,,362.36,62.04
ORD-0000007,2021-01-02,East,Office Supplies,Art,5,0.1,208.85,43.63
ORD-0000008,2021-01-02,East,Office Supplies,Binders,1,0.0,86.23,9.45
ORD-0000009,2021-01-02,East,Technology,Phones,3,0.0,1074.25,91.05
ORD-0000010,2021-01-02,South,Office Supplies,Paper,1,0.3,46.41,8.14
ORD-0000011,2021-01-02,Central,Office Supplies,Paper,3,0.0,51.33,14.28
ORD-0000012,2021-01-02,West,Technology,Machines,3,0.3,1216.68,70.92
ORD-0000013,2021-01-02,West,Furniture,Furnishings,7,0.15,2902.17,307.83
ORD-0000014,2021-01-02,West,Technology,Copiers,5,0.0,1189.96,307.53
ORD-0000015,2021-01-03,West,Technology,Copiers,2,0.0,587.58,69.56
ORD-0000016,2021-01-03,West,Technology,Phones,3,0.0,2275.84,444.81
ORD-0000017,2021-01-03,Central,Office Supplies,Art,7,0.1,215.41,30.84
ORD-0000018,2021-01-03,South,Technology,Accessories,7,0.0,1920.9,181.38
ORD-0000019,2021-01-03,South,Office Supplies,Paper,2,0.0,62.27,7.59
ORD-0000020,2021-01-04,West,Furniture,Chairs,1,0.2,244.74,50.66
ORD-0000021,2021-01-04,South,Office Supplies,Art,3,0.3,128.3,9.19
ORD-0000022,2021-01-04,Central,Office Supplies,Paper,1,0.0,40.3,3.39
ORD-0000023,2021-01-04,South,Technology,Machines,7,0.1,2824.56,326.02
ORD-0000024,2021-01-04,South,Technology,Phones,5,0.3,1810.58,192.28
ORD-0000025,2021-01-04,West,Technology,Machines,4,0.0,1360.16,449.79
ORD-0000026,2021-01-04,Central,Office Supplies,Paper,3,0.0,114.09,28.42
ORD-0000027,2021-01-04,East,Furniture,Tables,2,0.0,631.17,34.98
ORD-0000028,2021-01-04,West,Furniture,Furnishings,7,0.0,2329.73,495.68
ORD-0000029,2021-01-04,West,Office Supplies,Paper,6,0.0,226.58,40.86
ORD-0000030,2021-01-05,South,Office Supplies,Paper,5,0.1,177.59,8.73
ORD-0000031,2021-01-05,South,Office Supplies,Binders,7,0.0,193.13,19.48
